Northern Hemisphere Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
196811,-0.10
196812,-0.19
196901,-0.43
196902,-0.36
196903,0.00
196904,0.10
196905,0.11
196906,0.01
196907,0.09
196908,0.08
196909,0.07
196910,-0.02
196911,0.20
196912,0.34
197001,0.05
197002,0.27
197003,-0.04
197004,0.08
197005,0.02
197006,0.05
197007,0.01
197008,0.02
197009,-0.01
197010,-0.17
197011,0.00
197012,-0.18
197101,-0.01
197102,-0.26
197103,-0.19
197104,-0.15
197105,-0.09
197106,-0.12
197107,-0.10
197108,-0.11
197109,-0.12
197110,-0.16
197111,0.09
197112,-0.04
197201,-0.59
197202,-0.45
197203,-0.03
197204,0.00
197205,-0.08
197206,-0.02
197207,0.01
197208,-0.01
197209,-0.19
197210,-0.06
197211,-0.16
197212,0.03
197301,0.10
197302,0.44
197303,0.36
197304,0.22
197305,0.17
197306,0.19
197307,0.08
197308,0.07
197309,-0.01
197310,-0.05
197311,-0.02
197312,0.07
197401,-0.36
197402,-0.36
197403,0.01
197404,-0.05
197405,-0.13
197406,-0.13
197407,-0.07
197408,-0.07
197409,-0.08
197410,-0.20
197411,-0.18
197412,-0.21
197501,0.16
197502,0.07
197503,0.19
197504,0.08
197505,0.03
197506,-0.02
197507,-0.04
197508,-0.09
197509,-0.03
197510,-0.15
197511,-0.26
197512,-0.09
197601,0.06
197602,-0.20
197603,-0.36
197604,0.03
197605,-0.18
197606,-0.16
197607,-0.20
197608,-0.13
197609,-0.07
197610,-0.44
197611,-0.25
197612,-0.16
197701,-0.19
197702,0.12
197703,0.32
197704,0.28
197705,0.26
197706,0.27
197707,0.12
197708,0.09
197709,0.19
197710,0.00
197711,0.30
197712,0.08
197801,0.20
197802,0.14
197803,0.24
197804,0.16
197805,-0.03
197806,-0.07
197807,-0.06
197808,-0.10
197809,0.04
197810,0.05
197811,0.19
197812,0.08
197901,0.04
197902,-0.14
197903,0.19
197904,-0.09
197905,0.08
197906,0.15
197907,0.10
197908,0.10
197909,0.22
197910,0.22
197911,0.20
197912,0.60
198001,0.25
198002,0.36
198003,0.05
198004,0.22
198005,0.28
198006,0.23
198007,0.19
198008,0.16
198009,0.15
198010,0.11
198011,0.29
198012,0.19
198101,0.75
198102,0.58
198103,0.65
198104,0.41
198105,0.21
198106,0.31
198107,0.17
198108,0.20
198109,0.16
198110,0.17
198111,0.28
198112,0.60
198201,-0.03
198202,0.19
198203,0.04
198204,0.24
198205,0.15
198206,0.09
198207,0.10
198208,0.00
198209,0.12
198210,0.06
198211,-0.08
198212,0.42
198301,0.50
198302,0.38
198303,0.36
198304,0.13
198305,0.14
198306,0.18
198307,0.25
198308,0.31
198309,0.28
198310,0.14
198311,0.55
198312,0.20
198401,0.29
198402,0.00
198403,0.29
198404,0.04
198405,0.31
198406,0.09
198407,0.09
198408,0.11
198409,0.02
198410,-0.01
198411,-0.14
198412,-0.42
198501,0.09
198502,-0.24
198503,0.05
198504,0.03
198505,0.10
198506,0.07
198507,-0.05
198508,0.03
198509,0.02
198510,0.00
198511,0.04
198512,0.18
198601,0.37
198602,0.29
198603,0.27
198604,0.24
198605,0.22
198606,0.18
198607,0.06
198608,0.12
198609,0.06
198610,0.11
198611,0.03
198612,0.11
198701,0.21
198702,0.57
198703,0.11
198704,0.11
198705,0.31
198706,0.22
198707,0.34
198708,0.36
198709,0.43
198710,0.22
198711,0.15
198712,0.61
198801,0.56
198802,0.36
198803,0.50
198804,0.49
198805,0.41
198806,0.44
198807,0.46
198808,0.32
198809,0.31
198810,0.23
198811,0.16
198812,0.44
198901,0.08
198902,0.33
198903,0.42
198904,0.29
198905,0.27
198906,0.26
198907,0.36
198908,0.31
198909,0.27
198910,0.27
198911,0.16
198912,0.44
199001,0.35
199002,0.43
199003,1.07
199004,0.61
199005,0.47
199006,0.47
199007,0.34
199008,0.42
199009,0.42
199010,0.47
199011,0.51
199012,0.44
199101,0.54
199102,0.55
199103,0.37
199104,0.60
199105,0.35
199106,0.48
199107,0.44
199108,0.36
199109,0.33
199110,0.27
199111,0.30
199112,0.21
199201,0.57
199202,0.48
199203,0.45
199204,0.17
199205,0.20
199206,0.11
199207,-0.02
199208,0.00
199209,-0.13
199210,-0.09
199211,-0.06
199212,0.25
199301,0.40
199302,0.48
199303,0.43
199304,0.23
199305,0.30
199306,0.27
199307,0.16
199308,0.11
199309,0.02
199310,0.11
199311,-0.16
199312,0.31
199401,0.29
199402,-0.05
199403,0.50
199404,0.43
199405,0.40
199406,0.43
199407,0.34
199408,0.36
199409,0.35
199410,0.53
199411,0.51
199412,0.38
199501,0.72
199502,1.05
199503,0.62
199504,0.58
199505,0.40
199506,0.55
199507,0.42
199508,0.59
199509,0.45
199510,0.55
199511,0.53
199512,0.42
199601,0.24
199602,0.56
199603,0.29
199604,0.17
199605,0.40
199606,0.32
199607,0.35
199608,0.28
199609,0.17
199610,0.08
199611,0.24
199612,0.37
199701,0.38
199702,0.54
199703,0.62
199704,0.51
199705,0.46
199706,0.55
